"Origin","Count"
"International Steering Committee for Global Mapping (ISCGM)","822"
"University of Michigan. China Data Center.","489"
"East View Cartographic, Incorporated","323"
"Research Data Services (RDS), Columbia University Libraries","160"
"New York (N.Y.). Police Department","157"
"Environmental Systems Research Institute (Redlands, Calif.)","142"
"United States. Agency for International Development","133"
"United States. Defense Mapping Agency","130"
"New York (N.Y.). Department of City Planning","128"
"New York (N.Y.). Department of Information Technology and Telecommunications.","114"
"Boundary Solutions, Inc.","103"
"CHGIS, Harvard Yenching Institute","99"
"LeadDog Consulting, LLC","92"
"New York (N.Y.). Department of Health and Mental Hygiene","91"
"Community Cartography","72"
"United States. National Imagery and Mapping Agency","51"
"United States. Bureau of Transportation Statistics","46"
"Sanborn Map Company","36"
"Geological Survey (U.S.)","32"
"Center for Integrated Earth System Information (CIESIN)","29"
"infoUSA","28"
"TomTom North America, Inc.","26"
"LAND INFO Worldwide Mapping, LLC","25"
"New York (N.Y.). Department of Education","25"
"Louisiana State University (Baton Rouge, La.).; Dept. of Geography and Anthropology.","24"
"Tele Atlas North America, Inc.","22"
"New York (N.Y.). Department of Transportation","20"
"Halcrow Group Limited","19"
"DeLorme Publishing Company, Inc.","18"
"National Atlas of the United States and the United States Geological Survey","17"
"National Atlas of the United States","16"
"Tele Atlas (Firm : U.S.)","16"
"AND International Publishers N.V.","15"
"National Climatic Data Center (U.S.)","12"
"Michael Bauer Research GmbH","12"
"New York (N.Y.). Department of Parks and Recreation","12"
"ML InfoMap (Firm)","12"
"U.S. Department of Commerce, Census Bureau","11"
"Institut Geographique du Burkina","11"
"New York (State). Metropolitan Transportation Authority","10"
"Survey of Bangladesh","10"
"Garmin International, Inc.","9"
"Sistemas de Informacin Geogrfica, S.A. de C.V.","9"
"Research and Innovative Technology Administration's Bureau of Transportation Statistics (RITA/BTS)","8"
"World Wildlife Fund","7"
"Instituto Geografico Militar","7"
"Global Change Department National Institute of Public Health and Environmental Protection","5"
"DMTI Spatial Inc.","5"
"Geographical Survey Institute","4"
"National Institut of Cartography and Remote Sensing (INCT)","4"
"U.S. Geological Survey (USGS), EROS Data Center","4"
"Sudan National Survey Authority","4"
"Economic and Social Research Institute (Reston, Va.)","4"
"Federal Railroad Administration (FRA)","4"
"U.S. Geological Survey in cooperation with U.S. Environmental Protection Agency","4"
"New York City Housing Authority","4"
"""Agustin Codazzi"" Geographical Institute of Colombia","3"
"Bureau of Transportation Statistics","3"
"Surveys and Mapping, Ministry Lands and Housing","3"
"Survey of Kenya","3"
"New York Public Library","3"
"FHWA","3"
"Chief Directorate Surveys and Mapping","3"
"Holmes, J. B. (John Bute)","3"
"U.S. Department of Commerce, Census Bureau, Esri","3"
"New York (N.Y.). Department of Environmental Protection","3"
"Federal Highway Administration","2"
"U.S. Department of Commerce Bureau of the Census Geography Division.","2"
"Institut Geographique National","2"
"U.S. Census Bureau, Geography Division","2"
"Federal Transit Administration (FTA)","2"
"United States. Defense Mapping Agency. Hydrographic/Topographic Center.","2"
"U.S. Department of Commerce, U.S. Census Bureau, Geography Division","2"
"New York (N.Y.). Department of Sanitation","2"
"Ethiopian Mapping Agency","2"
"U. S. Geological Survey EROS Data Center","2"
"Smithsonian Institution, Global Volcanism Program, National Atlas of the United States, and the United States Geological Survey","2"
"Department of Commerce, Census Bureau, Geography Division","2"
"Topographic Survey Directorate, Survey and Land Registration Bureau","2"
"CERGEC - Centre de Recherche Geographique et de Production Cartographique","2"
"NYS Department of Public Service","2"
"GeoAccess Division, Canada Centre for Remote Sensing, Natural Resources Canada, Government of Canada","2"
"Federal Motor Carrier Safety Administration","1"
"Surface Deployment and Distribution Command Transportation Engineering Agency (SDDCTEA)","1"
"New York (N.Y.). Dept. of Health","1"
"BlueSky International Limited","1"
"New York (N.Y.). Taxi and Limousine Commission","1"
"Delete","1"
"New York Times Company","1"
"Platts (Firm)","1"
"National Renewable Energy Laboratory (U.S.)","1"
"Federal Aviation Administration","1"
"Vanderbilt Engineering Center for Transportation Operations and Research Vanderbilt University","1"
"United States. Federal Aviation Administration","1"
"Federal Highway Administration (FHWA)","1"
"Geographic Data Technology, Inc. (GDT)","1"
"Instituto Geographico Militar","1"
"Chief Directorate Surveys and Mapping,","1"
"Direccion General de Catastro y Geografia","1"
"New Jersey Port Authority</origin><title>MapInfo files from the New Jersey Port Authority</title><geoform>vector digital data</geoform></citeinfo></srccite><srcscale>100000</srcscale><typesrc>GIS vector layers</typesrc><srccitea>MapInfo files from the New Jersey Port Authority</srccitea></srcinfo><srcinfo><srccite><citeinfo><title>NJ DoT Roads</title><origin>New Jersey Department of Transportation</origin><pubdate>2005</pubdate></citeinfo></srccite><srccitea>NJ DoT Roads</srccitea></srcinfo><srcinfo><srccite><citeinfo><title>NJ DEP Orthophotos</title><origin>New Jersey Department of Environmental Protection</origin><pubdate>2002</pubdate><geoform>raster digital data</geoform></citeinfo></srccite><srccitea>NJ DEP Orthophotos</srccitea></srcinfo><srcinfo><srccite><citeinfo><title>River LINE PDF map</title><origin>New Jersey Transit","1"
"National Atlas of the United States and the U.S. Geological Survey","1"
"Community Studies of New York, Inc.,","1"
"National Park Service","1"
"U.S. Department of Commerce, Census Bureau, Geography Division","1"
"Great Britain. India Office.","1"
"Smithsonian Institution, Global Volcanism Program","1"
"National Renewable Energy Laboratory","1"
"Meridian World Data","1"
"Rand McNally and Company.","1"
"ArcAtlas: Our Earth (ESRI)","1"
"David G. Frank","1"
"Lee M. Osmonson, USGS, Denver, CO (comp.)","1"
